"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"d:\React projects\webeon\src\App.js", "JavaScript", 82, 0, 0, 16, 98
"d:\React projects\webeon\src\apis\OptionsMaster\index.js", "JavaScript", 105, 0, 0, 8, 113
"d:\React projects\webeon\src\assets\colors\COLORS.js", "JavaScript", 5, 0, 0, 1, 6
"d:\React projects\webeon\src\components\AlertModal.js", "JavaScript", 36, 0, 1, 4, 41
"d:\React projects\webeon\src\components\CustomAlertModal.js", "JavaScript", 81, 0, 15, 6, 102
"d:\React projects\webeon\src\components\CustomerAlertModalCurrency.js", "JavaScript", 81, 0, 15, 6, 102
"d:\React projects\webeon\src\components\Dropdown.js", "JavaScript", 127, 0, 6, 11, 144
"d:\React projects\webeon\src\components\Toast.js", "JavaScript", 43, 0, 0, 5, 48
"d:\React projects\webeon\src\components\global\Form\FormComponent.js", "JavaScript", 72, 0, 1, 4, 77
"d:\React projects\webeon\src\components\global\InnerUrlGrid.js", "JavaScript", 68, 0, 2, 5, 75
"d:\React projects\webeon\src\components\global\MainBackBox.js", "JavaScript", 16, 0, 0, 3, 19
"d:\React projects\webeon\src\components\global\MainContainerCompilation.js", "JavaScript", 18, 0, 0, 3, 21
"d:\React projects\webeon\src\components\global\MainContentBox.js", "JavaScript", 22, 0, 0, 3, 25
"d:\React projects\webeon\src\components\global\MainContentLayout.js", "JavaScript", 17, 0, 0, 3, 20
"d:\React projects\webeon\src\components\global\ProtectedRoute.js", "JavaScript", 9, 0, 0, 4, 13
"d:\React projects\webeon\src\components\global\SideNavbar.js", "JavaScript", 159, 0, 7, 12, 178
"d:\React projects\webeon\src\components\global\Topbar.js", "JavaScript", 199, 0, 1, 16, 216
"d:\React projects\webeon\src\contexts\AuthContext.js", "JavaScript", 130, 0, 6, 20, 156
"d:\React projects\webeon\src\contexts\ToastContext.js", "JavaScript", 53, 0, 0, 13, 66
"d:\React projects\webeon\src\css\components\InnerUrlGrid.css", "CSS", 0, 12, 0, 1, 13
"d:\React projects\webeon\src\css\components\buyfromindiv.css", "CSS", 0, 65, 4, 17, 86
"d:\React projects\webeon\src\css\components\dropdown.css", "CSS", 0, 0, 0, 1, 1
"d:\React projects\webeon\src\css\components\formComponent.css", "CSS", 0, 27, 0, 2, 29
"d:\React projects\webeon\src\css\global.css", "CSS", 0, 15, 0, 4, 19
"d:\React projects\webeon\src\css\pages\CurrencyProfile.css", "CSS", 0, 26, 0, 4, 30
"d:\React projects\webeon\src\css\pages\Dashboard.css", "CSS", 0, 40, 0, 10, 50
"d:\React projects\webeon\src\css\pages\Login.css", "CSS", 0, 57, 4, 9, 70
"d:\React projects\webeon\src\index.css", "CSS", 0, 16, 0, 4, 20
"d:\React projects\webeon\src\index.js", "JavaScript", 10, 0, 0, 3, 13
"d:\React projects\webeon\src\pages\Dashboard.js", "JavaScript", 48, 0, 0, 6, 54
"d:\React projects\webeon\src\pages\Login.js", "JavaScript", 308, 0, 14, 26, 348
"d:\React projects\webeon\src\pages\Master\AccountsProfile.js", "JavaScript", 10, 0, 0, 3, 13
"d:\React projects\webeon\src\pages\Master\Ad1Provider.js", "JavaScript", 8, 0, 0, 3, 11
"d:\React projects\webeon\src\pages\Master\CurrencyProfile.js", "JavaScript", 931, 0, 35, 56, 1022
"d:\React projects\webeon\src\pages\Master\DivisionDetails.js", "JavaScript", 10, 0, 0, 3, 13
"d:\React projects\webeon\src\pages\Master\DivisionProfile.js", "JavaScript", 10, 0, 0, 3, 13
"d:\React projects\webeon\src\pages\Master\FinancialCodes.js", "JavaScript", 10, 0, 0, 3, 13
"d:\React projects\webeon\src\pages\Master\FinancialSubProfile.js", "JavaScript", 10, 0, 0, 3, 13
"d:\React projects\webeon\src\pages\TestPage.js", "JavaScript", 44, 0, 0, 4, 48
"d:\React projects\webeon\src\pages\Transactions\BuySellTransactions\BuyFromIndiviOrCorp.js", "JavaScript", 1386, 0, 133, 98, 1617
"d:\React projects\webeon\src\pages\Transactions\BuySellTransactions\index.js", "JavaScript", 44, 0, 0, 4, 48
"Total", "-", 4152, 258, 244, 410, 5064
